origin                                             , destination                                        , mode   , distance_meters, distance_text, duration_seconds, duration_text  , duration_in_traffic_seconds, duration_in_traffic_text
Türkenschanzpark                                   , Schönbrunn                                         , walking,            7869, 7.9 km       ,             6503, 1 hour 48 mins ,                            , 
Türkenschanzpark                                   , Prater / Riesenrad                                 , walking,            5876, 5.9 km       ,             4836, 1 hour 21 mins ,                            , 
Türkenschanzpark                                   , Mittelalterlicher Adventmarkt                      , walking,            6638, 6.6 km       ,             5446, 1 hour 31 mins ,                            , 
Türkenschanzpark                                   , Weihnachtsmarkt am Michaelerplatz                  , walking,            4305, 4.3 km       ,             3476, 58 mins        ,                            , 
Türkenschanzpark                                   , Schloss Wilhelminenberg                            , walking,            5175, 5.2 km       ,             4731, 1 hour 19 mins ,                            , 
Türkenschanzpark                                   , Advent in der Stallburg                            , walking,            4427, 4.4 km       ,             3578, 1 hour 0 mins  ,                            , 
Türkenschanzpark                                   , Adventmarkt Mariahilf                              , walking,            5367, 5.4 km       ,             4402, 1 hour 13 mins ,                            , 
Türkenschanzpark                                   , IKEA Westbahnhof                                   , walking,            5434, 5.4 km       ,             4511, 1 hour 15 mins ,                            , 
Türkenschanzpark                                   , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), walking,            6330, 6.3 km       ,             5103, 1 hour 25 mins ,                            , 
Türkenschanzpark                                   , Adventmark Verkehrsmuseum Remise                   , walking,            7743, 7.7 km       ,             6306, 1 hour 45 mins ,                            , 
