origin,destination,distance_meters,duration_walking_sec,duration_walking_min,duration_public_transport_sec,duration_public_transport_min
Belvedere                                          , Mittelalterlicher Adventmarkt                      ,1929,1566,27,,
Belvedere                                          , Weihnachtsmarkt am Michaelerplatz                  ,2402,1945,33,,
Belvedere                                          , Schloss Wilhelminenberg                            ,8622,7690,129,,
Belvedere                                          , Advent in der Stallburg                            ,2287,1857,31,,
Belvedere                                          , Adventmarkt Mariahilf                              ,2926,2441,41,,
Belvedere                                          , IKEA Westbahnhof                                   ,4191,3525,59,,
Belvedere                                          , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz),8795,7216,121,,
Belvedere                                          , Adventmark Verkehrsmuseum Remise                   ,2694,2155,36,,
Belvedere                                          , Weihnacht im Wald                                  ,3110,2539,43,,
Belvedere                                          , Adventmarkt Favoriten                              ,1929,1566,27,,
Belvedere                                          , Winterzauber im Böhmischen Prater                  ,3645,3121,53,,
Belvedere                                          , Adventmarkt Meidling                               ,1929,1566,27,,
Belvedere                                          , Ottakringer Weihnachtszauber                       ,6602,5589,94,,
Belvedere                                          , Adventmarkt im Schloss Neugebäude                  ,6589,5331,89,,
Karlsplatz                                         , MQ                                                 ,989,945,16,,
Karlsplatz                                         , Altes AKH                                          ,2620,2228,38,,
Karlsplatz                                         , Am Hof                                             ,1506,1252,21,,
Karlsplatz                                         , Spittelberg                                        ,1443,1323,23,,
Karlsplatz                                         , Stephansplatz                                      ,1214,1009,17,,
Karlsplatz                                         , Opera                                              ,5461,4672,78,,
Karlsplatz                                         , Türkenschanzpark                                   ,5418,4737,79,,
Karlsplatz                                         , Maria-Theresien-Platz                              ,859,744,13,,
Karlsplatz                                         , Blumengärten Hirschstetten                         ,11087,9290,155,,
Karlsplatz                                         , Palais Liechtenstein                               ,2993,2494,42,,
Karlsplatz                                         , Belvedere                                          ,1457,1271,22,,
Karlsplatz                                         , Messe                                              ,4313,3622,61,,
Karlsplatz                                         , Altwiener Christkindlmarkt                         ,1562,1311,22,,
Karlsplatz                                         , Biobauern-Adventmarkt                              ,1823,1544,26,,
Karlsplatz                                         , Rathaus                                            ,1774,1500,25,,
